date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2005-01-01 01:00:00,3.0,93,0.0,0,0,0,0
2005-01-01 02:00:00,4.0,93,0.0,0,0,0,0
2005-01-01 03:00:00,4.0,100,1.5,200,0,0,0
2005-01-01 04:00:00,2.0,100,0.0,0,0,0,0
2005-01-01 05:00:00,3.0,93,1.5,270,0,0,0
2005-01-01 06:00:00,3.0,93,0.0,0,0,0,0
2005-01-01 07:00:00,4.0,100,0.0,0,0,0,0
2005-01-01 08:00:00,5.0,87,1.5,260,0,0,0
2005-01-01 09:00:00,11.0,87,1.5,300,29,0,29
2005-01-01 10:00:00,18.0,64,2.6,250,149,82,124
2005-01-01 11:00:00,18.0,64,5.1,260,298,337,164
2005-01-01 12:00:00,18.0,59,7.2,290,384,465,171
2005-01-01 13:00:00,18.0,56,6.2,280,466,719,129
2005-01-01 14:00:00,18.0,59,3.1,280,368,558,128
2005-01-01 15:00:00,18.0,56,5.7,290,267,403,127
2005-01-01 16:00:00,17.0,55,4.1,310,180,499,68
2005-01-01 17:00:00,14.0,67,2.6,280,37,284,17
2005-01-01 18:00:00,13.0,67,1.5,300,0,0,0
2005-01-01 19:00:00,11.0,71,0.0,0,0,0,0
2005-01-01 20:00:00,8.0,87,1.5,310,0,0,0
2005-01-01 21:00:00,9.0,81,0.0,0,0,0,0
2005-01-01 22:00:00,6.0,93,1.5,340,0,0,0
2005-01-01 23:00:00,5.0,93,0.0,0,0,0,0
2005-01-02 00:00:00,8.0,87,2.6,40,0,0,0
2005-01-02 01:00:00,6.0,87,0.0,0,0,0,0
2005-01-02 02:00:00,5.0,87,0.0,0,0,0,0
2005-01-02 03:00:00,6.0,75,2.1,50,0,0,0
2005-01-02 04:00:00,5.0,75,2.6,50,0,0,0
2005-01-02 05:00:00,4.0,81,1.5,60,0,0,0
2005-01-02 06:00:00,4.0,75,2.1,60,0,0,0
