date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
1998-01-01 01:00:00,-3.9,45,6.7,310,0,0,0
1998-01-01 02:00:00,-3.9,41,6.7,310,0,0,0
1998-01-01 03:00:00,-5.0,41,6.7,310,0,0,0
1998-01-01 04:00:00,-6.1,45,7.2,310,0,0,0
1998-01-01 05:00:00,-6.1,50,4.1,330,0,0,0
1998-01-01 06:00:00,-7.2,55,5.2,290,0,0,0
1998-01-01 07:00:00,-7.2,55,3.6,290,0,0,0
1998-01-01 08:00:00,-7.2,55,3.1,280,3,129,1
1998-01-01 09:00:00,-5.0,41,4.1,310,152,550,56
1998-01-01 10:00:00,-3.9,41,2.6,340,300,747,66
1998-01-01 11:00:00,-2.2,36,1.5,300,419,825,77
1998-01-01 12:00:00,-1.1,30,4.1,250,481,852,80
1998-01-01 13:00:00,-1.1,32,4.6,250,471,809,84
1998-01-01 14:00:00,1.1,30,5.7,230,419,783,77
1998-01-01 15:00:00,1.1,30,5.2,220,326,759,61
1998-01-01 16:00:00,1.1,30,3.1,220,183,614,47
1998-01-01 17:00:00,0.0,36,2.6,200,35,285,16
1998-01-01 18:00:00,0.0,39,2.6,190,0,0,0
1998-01-01 19:00:00,1.1,39,4.1,210,0,0,0
1998-01-01 20:00:00,1.1,43,4.1,220,0,0,0
1998-01-01 21:00:00,1.1,36,7.2,230,0,0,0
1998-01-01 22:00:00,1.1,43,8.8,230,0,0,0
1998-01-01 23:00:00,2.2,40,9.8,230,0,0,0
1998-01-02 00:00:00,2.2,40,10.3,240,0,0,0
1998-01-02 01:00:00,2.2,43,9.3,240,0,0,0
1998-01-02 02:00:00,2.2,43,8.2,240,0,0,0
1998-01-02 03:00:00,2.2,43,8.8,240,0,0,0
1998-01-02 04:00:00,2.2,43,7.7,240,0,0,0
1998-01-02 05:00:00,2.2,43,9.3,240,0,0,0
1998-01-02 06:00:00,2.8,41,7.2,240,0,0,0
1998-01-02 07:00:00,2.2,43,3.1,230,0,0,0
1998-01-02 08:00:00,2.2,43,4.1,260,3,117,1
1998-01-02 09:00:00,3.9,38,4.1,260,152,502,64
1998-01-02 10:00:00,6.1,33,6.7,250,293,716,68
1998-01-02 11:00:00,8.9,30,4.6,250,412,795,83
1998-01-02 12:00:00,11.1,26,4.1,250,475,821,88
1998-01-02 13:00:00,12.8,25,4.6,240,477,827,80
1998-01-02 14:00:00,13.9,21,5.2,250,431,825,69
1998-01-02 15:00:00,15.0,22,4.1,220,332,777,59
1998-01-02 16:00:00,13.9,23,3.6,230,189,632,47
1998-01-02 17:00:00,12.8,23,2.6,220,35,310,14
1998-01-02 18:00:00,11.1,28,4.6,230,0,0,0
1998-01-02 19:00:00,11.1,28,6.7,230,0,0,0
1998-01-02 20:00:00,11.1,33,7.2,230,0,0,0
