"HOUSEID","WTHHFIN","WTHHFIN5D","WTHHFIN2D","NUMADLT","HOMEOWN","HOMETYPE","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CNTTDHH","CDIVMSAR","FLAG100","HHFAMINC","HHFAMINC_IMP","HH_RACE","HHSIZE","HHVEHCNT","HHRELATD","LIF_CYC","MSACAT","MSASIZE","TRAVDAY","URBAN","URBANSIZE","URBRUR","PPT517","YOUNGCHILD","RESP_CNT","URBRUR_2010","TDAYDATE","WRKCOUNT","STRATUMID","HBHUR","HTHTNRNT","HTPPOPDN","HTRESDN","HTEEMPDN","HBHTNRNT","HBPPOPDN","HBRESDN"
"9000013216",4618.97664421603,6053.11410026535,0,1,"01","01","01","01","01","02",1,0,"11","01","09","09","01",1,1,"02","01","01","05","02","01","04","01",0,0,1,"01","202201",1,"1021","02","20","05","03","05","01","05","03"
"9000013237",45712.8643048857,0,74358.9772920293,2,"01","03","02","01","01","02",2,4,"13","01","11","11","01",2,2,"01","02","03","01","07","04","06","02",0,0,2,"02","202202",2,"1022","01","05","01","01","01","05","01","01"
"9000013246",10072.0905770095,24502.323533568,0,1,"01","01","02","01","01","02",1,7,"13","01","11","11","01",1,1,"02","01","03","01","05","02","06","01",0,0,1,"01","202202",1,"1022","02","30","02","02","03","20","02","02"
"9000013255",7406.80128191793,0,10665.6493516409,2,"02","01","02","01","01","02",2,4,"13","01","07","07","01",2,2,"01","10","03","01","01","01","01","01",0,0,2,"01","202202",0,"1022","02","20","04","03","05","20","04","03"
"9000013256",3729.17802176244,7830.61761830971,0,1,"01","01","02","01","01","02",1,0,"14","01","09","09","01",1,1,"02","09","04","06","02","04","06","02",0,0,1,"02","202202",0,"1022","01","05","02","01","01","01","01","01"
"9000013265",5669.21500953771,11706.5639121327,0,2,"01","01","02","01","01","02",2,0,"14","01","05","05","01",2,2,"01","10","04","06","04","04","06","02",0,0,2,"02","202211",0,"1022","01","05","01","01","01","01","01","01"
"9000013267",3757.48314864822,6943.92014447059,0,1,"03","03","02","01","01","02",1,0,"13","01","04","04","01",1,1,"02","09","03","01","04","04","06","02",0,0,1,"02","202202",0,"1022","01","05","01","01","01","20","02","01"
"9000013268",7256.86053505816,0,13084.166214923,2,"01","01","02","01","01","02",2,15,"13","01","06","06","01",4,2,"01","06","03","01","01","02","06","01",2,0,4,"01","202202",2,"1022","02","30","05","04","06","20","03","02"
"9000013269",6069.60695939399,11851.4454442179,0,2,"02","01","02","01","01","02",2,0,"13","01","06","06","01",2,2,"01","10","03","01","06","01","03","01",0,0,2,"01","202202",0,"1022","02","30","03","02","04","05","02","02"
"9000013284",6467.82015448182,15108.1491788164,0,3,"01","01","02","01","01","02",3,6,"14","01","11","11","01",3,3,"01","02","04","06","06","02","06","01",0,0,3,"01","202202",3,"1022","02","20","03","02","04","20","01","03"
"9000013285",3343.59872175872,0,5980.91057932664,1,"01","01","02","01","01","02",1,0,"14","01","03","03","01",1,2,"02","01","04","06","01","04","06","02",0,0,1,"02","202202",0,"1022","01","05","01","01","01","05","01","01"
