HINCP,VEH,NP,PUMA,WGTP
269000,2,2,01600,73
187000,5,4,01201,474
206400,2,5,01105,47
386750,4,3,00504,47
156000,2,2,00802,43
20700,1,1,01204,90
98000,3,3,00301,162
132610,6,6,00601,98
204000,2,2,01600,81
181600,1,2,00301,62
90000,1,1,00400,139
270300,2,3,01003,56
164000,2,4,00804,103
249460,2,3,01004,12
57800,2,2,01007,159
461100,3,2,00501,34
158500,2,2,00901,106
545600,1,1,00902,36
78004,2,5,01201,65
177000,2,4,01003,83
63000,1,2,00802,31
296800,2,3,00901,136
110000,1,1,00805,54
430300,3,4,01004,40
235000,2,5,00901,103
161000,1,3,01003,46
30000,3,1,00507,123
5000,1,2,01102,117
40000,1,1,01005,58
260000,2,4,01003,55
59000,1,1,01300,139
98000,1,1,01106,108
130070,1,1,00400,58
186000,2,2,01001,81
110000,3,3,00400,64
25300,1,2,01004,93
43500,1,1,01004,56
80000,0,7,01400,228
256000,2,3,01007,57
168600,2,2,00802,89
42000,1,1,00700,68
120000,2,4,01003,59
50100,3,4,01007,52
61600,1,3,01004,62
30000,4,4,00801,149
37000,1,1,01102,214
90000,4,3,01300,12
120000,2,2,00802,37
142600,2,5,01204,77
128000,1,1,01004,101
117700,2,2,01204,56
37000,3,4,01004,90
119000,2,2,01002,62
168130,2,2,00200,49
84200,1,1,00504,41
112000,1,1,01004,53
3000,1,1,00902,73
87800,2,3,01103,30
281700,4,5,00901,179
79400,0,2,00805,46
210000,2,2,01300,36
154900,2,2,01002,97
18800,1,2,01007,161
74000,2,2,01001,95
36220,4,4,01103,11
676000,2,2,01204,67
117400,2,2,01203,88
600,2,7,01104,108
287000,2,5,01004,60
175050,2,2,01201,526
297200,2,4,01500,216
14300,1,1,01400,117
19000,1,1,01005,190
86500,1,5,01006,85
120000,2,4,01001,83
151000,3,2,01300,100
39500,1,2,00805,47
103000,3,3,00505,67
6800,1,1,01300,39
100000,6,3,01202,76
117500,2,1,01106,39
14200,2,1,01006,46
109000,2,5,01003,123
64000,0,4,01300,70
229200,2,3,00601,49
182000,2,3,00501,107
338500,3,8,00200,58
112700,2,2,00302,139
130300,1,4,00100,36
126000,2,2,01300,22
153900,1,2,01003,61
56600,3,2,01500,326
172900,1,1,01102,136
258500,4,5,01106,56
1059000,2,2,00802,97
180000,2,2,01101,22
158000,1,1,01103,50
20000,1,3,00501,167
160700,2,2,01002,100
90000,1,1,00902,78
34100,2,2,00100,27
58700,2,2,00803,65
379000,1,2,00804,62
43000,1,5,00802,389
36200,2,3,01203,251
114710,2,2,01203,51
59800,1,1,00805,126
71000,3,4,01102,94
115000,2,5,01001,48
297000,3,4,01105,69
13900,0,1,00301,30
211000,1,2,01105,98
139030,3,2,01102,271
187810,5,4,01101,27
37420,1,1,01300,12
38500,1,1,01400,49
220200,3,6,01101,86
138700,1,3,01007,67
170800,3,3,00505,113
156800,3,3,01005,86
586000,4,4,00501,71
84200,2,2,00503,162
197000,2,4,01600,59
19900,1,1,01300,9
144600,1,2,00803,180
200400,4,2,01500,58
220000,2,2,01400,51
131800,4,5,00505,76
192000,4,5,01600,66
270000,3,2,01203,62
51000,2,2,00502,126
15100,3,7,01400,91
120000,2,2,00902,52
240200,3,2,01005,62
20000,0,1,00802,34
90320,2,2,00801,51
100000,0,2,01201,230
162000,3,3,01500,57
119900,3,7,01101,202
106600,3,2,01106,51
235800,3,5,00301,68
40000,1,3,01007,147
149540,2,3,01006,55
79180,2,2,00503,56
58300,3,4,01203,396
284000,5,5,00901,45
100500,2,2,00301,32
6500,1,1,01003,57
12000,1,1,01103,57
120000,2,3,01202,79
254200,4,4,01105,67
1712000,4,3,01001,97
231000,3,3,01003,58
130500,6,4,00100,90
87000,2,2,01005,64
83000,0,1,01201,36
301030,3,6,00902,63
88800,2,2,01002,173
208000,3,3,00507,74
89000,1,2,00602,142
144000,2,5,01202,212
100000,1,2,01007,96
144000,2,3,01102,99
194120,4,2,00301,56
1431000,2,3,00901,268
150000,5,4,00501,68
128000,0,3,01003,50
45000,0,1,00100,508
73990,3,1,00601,88
261300,3,2,01003,50
228300,2,2,01107,118
103000,2,3,01006,53
77000,1,1,00505,50
8400,3,6,01500,56
65000,3,3,01300,13
130000,2,1,01107,37
63000,1,1,00802,272
77000,1,1,00200,130
52100,3,5,01102,180
87800,3,3,00601,90
85000,2,2,00100,19
206300,2,3,01005,110
69200,1,2,00902,51
6700,0,1,01300,97
126900,2,2,00504,58
222400,2,3,01300,33
124600,3,3,00200,54
27800,1,2,00100,327
12100,1,1,00805,75
100000,3,2,00501,311
156000,4,3,01400,88
13100,0,1,00804,287
70000,1,3,01104,78
198970,2,2,01001,77
275500,2,2,01006,48
79400,1,1,01104,51
119600,3,2,00301,36
2100,1,1,01104,32
15500,2,2,00802,63
85000,1,1,01003,46
36000,3,5,00801,243
359300,0,4,01400,77
78040,1,1,01201,51
159900,5,4,00400,160
216750,2,3,01005,175
53900,1,1,01400,89
200000,2,4,01105,175
172800,3,3,01107,93
428200,3,4,01004,86
298600,1,1,01400,92
85800,3,2,00400,45
183000,1,2,00200,37
65000,2,4,00601,79
228000,3,4,00901,92
52740,1,3,01105,67
69600,2,2,01105,238
190000,1,1,01201,52
203400,1,2,01103,38
94700,2,2,00400,102
221000,4,4,01203,85
39800,1,1,00602,137
30800,0,1,01300,219
150000,0,2,00804,94
52000,1,1,01103,196
370300,1,2,01001,95
43500,1,1,00503,34
51500,1,1,01300,35
122000,1,1,01500,131
83500,2,4,01102,82
52000,2,2,00804,179
86300,1,3,00507,64
288000,2,4,01003,79
364600,3,5,01004,60
66400,2,3,01202,53
59000,2,2,00504,165
105100,3,5,00505,134
40430,1,7,00805,192
64000,1,1,00100,38
111000,2,2,00506,248
42800,2,1,00505,70
87000,1,1,01202,135
166100,2,7,01005,44
136000,2,2,00400,33
50000,1,1,00200,50
137900,3,2,01106,14
116000,4,3,00602,117
107050,3,6,00602,91
471400,3,4,01004,50
310000,3,6,01005,92
138000,4,4,00504,40
245000,2,4,00902,70
10600,1,1,01105,81
155000,1,2,01201,155
98000,2,2,00805,56
50300,2,2,00400,48
86200,1,1,00502,94
91000,2,1,00803,242
28000,1,1,00100,76
71400,2,2,00602,43
578000,4,4,01004,51
68200,2,5,00801,196
25000,0,1,00502,338
355600,2,3,00400,54
244100,1,1,01004,77
24200,1,4,01204,214
24000,1,1,01101,172
224000,3,5,00601,38
16800,2,2,00502,110
25000,1,6,00804,92
42900,1,1,00301,17
263000,2,4,01001,52
165100,3,4,00804,41
48200,1,2,01107,67
32000,2,1,00505,102
89490,1,1,00805,38
16000,0,1,01300,33
81440,1,1,01105,71
31500,1,1,00301,87
33000,1,1,01204,63
33600,4,2,00100,12
116000,1,1,00902,67
83540,1,1,01105,45
147800,2,5,01203,113
95000,3,2,00700,86
428000,1,4,01004,193
28700,3,2,00700,79
43500,2,2,00100,61
120000,3,3,00602,50
52800,2,3,00301,122
80000,3,1,01300,134
53500,1,1,01007,43
8100,1,1,01103,92
112200,2,2,00501,50
250700,2,5,00506,62
361000,2,2,01004,57
60000,2,2,01300,23
12090,1,1,00400,90
92000,5,5,01101,46
543400,2,4,01003,67
53000,2,2,00804,105
235000,3,4,01600,74
27700,1,1,01106,47
439100,6,3,01005,91
20000,1,1,00803,35
109000,3,3,01202,62
67000,2,2,00805,65
157200,2,4,01103,62
116600,3,3,00503,392
15800,0,1,00301,187
41600,1,1,00801,71
299800,2,6,00400,51
320000,1,2,00801,76
42000,1,1,01007,71
356000,2,3,00400,156
49000,2,2,00602,59
20000,1,4,00505,56
227000,2,6,00901,135
78390,2,1,01001,36
92100,2,3,00700,92
53000,1,4,01102,49
