HINCP,VEH,NP,PUMA,WGTP
42300,1,1,01203,94
112000,1,2,01106,45
155000,1,2,01104,224
111000,2,2,01300,64
58500,2,2,00302,53
346000,1,1,01001,36
309200,4,8,01107,181
85000,1,1,01102,96
23900,2,2,00506,210
83000,2,2,00400,71
280000,2,4,01001,82
140000,3,4,01106,128
200400,4,5,00301,52
28700,2,2,00506,156
38200,2,1,00100,111
273700,6,5,00400,96
45000,2,2,00400,76
330000,2,2,00901,28
23200,3,4,01003,60
62400,1,2,00602,210
95000,2,3,00505,57
26100,1,1,00505,54
140000,1,3,01003,80
85000,1,1,00302,234
112900,2,2,00400,50
86190,2,2,01006,86
45000,1,1,00601,51
193100,2,2,01004,96
45100,2,4,01004,60
77900,2,3,01002,82
100000,1,4,00400,45
55000,3,2,01300,11
67000,2,1,01105,45
47500,2,2,00505,24
191100,2,5,01003,37
127300,1,4,00506,127
730000,2,2,00504,58
141000,2,2,01202,58
240000,2,2,01201,48
91000,3,2,01001,48
67410,2,3,01300,96
148800,2,2,00400,59
95000,1,1,00200,42
33400,1,1,00803,78
114500,3,2,00505,31
248600,2,2,01106,63
270400,2,6,01006,38
175000,2,4,00507,103
126000,3,4,00507,45
15200,0,1,00805,45
212000,2,2,01300,52
54400,2,7,00804,147
8100,1,4,00400,87
21200,0,1,01500,93
40500,1,3,01103,69
90000,1,1,01105,64
100000,2,2,00901,28
117400,2,4,00504,107
62000,2,2,01400,100
92300,3,2,01107,118
70900,2,2,00902,63
177000,3,3,00505,66
15000,1,1,01102,277
257200,2,2,01106,49
45000,1,1,00507,301
89000,3,3,00902,64
69000,2,1,01600,59
232800,2,2,01600,79
127020,1,2,01007,109
3900,0,1,01104,428
58100,1,3,00507,217
366140,2,2,01004,54
43850,1,5,00804,56
298800,1,4,01204,57
119700,1,1,00506,62
120000,2,3,00506,157
210000,2,2,01204,92
147800,2,2,01002,63
284600,4,4,00200,244
583500,1,4,01005,47
48400,4,5,00803,76
128500,2,3,01005,14
86500,1,2,00602,208
101000,1,1,01500,98
83100,2,3,01002,148
97600,2,4,01105,48
162000,2,2,00301,63
87000,1,1,00700,128
295000,3,5,01006,96
59000,1,3,01107,117
219000,1,2,00504,101
13000,0,1,01300,88
95700,3,7,01201,81
60900,1,1,01201,147
678000,3,6,01004,56
42000,1,1,00504,153
14000,0,2,00805,95
191000,2,2,00901,56
313750,5,5,01201,56
252000,2,2,01001,53
85000,3,3,01006,164
151600,3,3,01204,81
147000,3,3,00505,74
34700,1,1,00902,73
172000,2,5,01004,63
100400,1,1,01600,104
112400,2,1,00503,96
55000,1,1,01500,136
110500,5,5,01002,66
161400,4,3,01600,133
92500,3,2,00400,148
332400,5,2,00902,119
80000,1,2,00803,31
31000,1,1,01001,122
50000,0,1,00100,293
197170,2,4,01007,91
260000,1,1,01004,110
50040,1,1,01201,109
124000,2,2,00902,113
18000,2,1,00505,100
194600,2,3,01600,45
136150,2,4,01102,128
285700,2,2,01204,109
10630,2,2,01300,117
115000,2,2,01400,120
212600,1,2,01400,64
90030,1,1,01204,111
54000,2,1,00805,69
30000,2,1,00100,91
120200,2,4,01500,98
19600,2,2,00902,107
302400,3,4,01004,56
162000,0,1,01102,122
9300,1,1,01400,15
2000,1,1,01005,51
142000,2,2,00200,83
184000,4,5,00505,97
27700,1,1,00502,170
28000,1,4,00602,183
150800,2,3,01500,72
5000,2,1,00400,22
188400,2,2,01007,50
19000,2,1,01107,251
79200,0,2,00804,34
199400,1,2,00804,193
32200,2,1,00505,115
80000,2,5,01300,125
80000,2,2,01300,39
110000,2,3,00504,61
79400,2,2,01500,51
150600,3,4,01103,15
67200,2,4,01204,245
82020,1,1,01002,66
65000,1,1,01002,111
140000,2,2,00602,103
60000,2,1,01204,49
74700,2,2,01003,32
157500,2,3,00901,98
93900,4,2,00601,52
92200,1,1,01002,86
210000,3,2,01400,103
60000,1,1,00200,125
35000,1,1,00100,62
14340,0,2,00801,135
63400,2,3,01400,72
261500,3,4,00503,47
52000,2,2,01300,15
436000,2,2,01204,48
70000,1,1,00506,168
105000,2,2,00602,229
169000,2,2,01204,88
190000,2,4,00501,99
22000,1,2,00802,248
134800,2,5,01204,117
329400,1,2,01105,104
67500,1,2,00301,63
45000,1,2,00400,59
98000,1,1,00302,238
10400,0,1,01107,66
214000,3,5,01003,54
160200,5,4,01102,52
90000,3,4,01002,285
81600,1,2,00803,56
80150,2,2,00100,38
40500,3,3,01002,78
29000,1,3,01103,158
132000,2,4,01400,90
126000,3,6,01102,273
145000,3,4,00801,192
80000,2,2,00506,64
21700,1,1,01300,106
38730,1,2,00504,201
28300,3,2,01102,106
75000,2,2,01300,70
2790,2,3,00803,59
43800,0,3,00200,29
105000,2,2,01204,57
97000,0,1,01104,96
13000,2,1,00700,279
295700,2,4,01003,54
12600,0,1,00200,81
58000,1,1,01101,53
35800,1,1,00200,101
135000,2,3,00502,146
200000,3,4,01105,111
56300,1,2,00602,45
355000,3,6,01003,94
132950,3,4,01201,176
72000,1,3,01202,236
100000,2,1,00700,609
198800,1,1,01104,120
61000,1,1,01004,43
110000,1,2,01107,169
590000,2,4,01003,48
236000,5,3,01204,120
22100,2,3,00501,70
9600,0,1,01400,109
56000,1,2,00506,271
137800,3,2,01105,14
793530,3,4,01004,64
29000,1,1,00100,31
18800,1,1,01003,40
82000,1,1,00302,183
88000,1,1,01007,41
80000,1,1,00805,41
59000,1,1,00805,55
283500,2,4,00901,68
155000,2,2,01204,127
444200,4,2,00901,67
269000,2,2,00802,64
200000,2,2,00501,115
9500,0,1,00803,101
39100,2,1,00503,43
57600,2,2,01203,102
148200,2,3,00803,51
113130,2,3,01002,108
30000,2,2,00200,224
9400,1,1,00400,266
433000,3,2,00301,60
43600,2,2,01203,49
722000,2,2,00802,45
179000,2,1,01006,66
55000,2,1,01300,56
95000,2,2,01104,93
43100,2,2,00400,67
45000,2,7,00601,54
22400,1,1,00804,162
93700,3,2,00400,94
38400,1,2,01104,145
25000,0,1,00805,71
5800,1,1,00100,57
65000,2,2,00400,180
50400,2,2,01103,113
16200,1,1,00200,90
90400,0,2,01003,53
415000,2,4,01005,14
103400,3,5,01201,130
130000,2,3,00302,89
196800,2,4,01600,44
61600,2,2,00901,123
116600,3,4,01101,77
278600,4,2,01004,45
220000,2,2,00400,133
30000,2,1,00803,217
61500,2,2,00901,95
22000,0,4,01004,120
212200,2,2,00302,50
69000,1,1,01005,119
691500,3,5,00700,89
29000,1,2,00700,21
107000,2,2,00501,83
702000,2,4,01005,129
220000,2,3,01006,96
25000,2,3,01300,23
46000,1,1,01600,104
58000,1,2,01005,46
87000,1,1,01104,365
34800,2,2,00601,45
224000,1,1,00501,150
155800,2,2,01201,146
125500,2,1,01002,50
26000,1,1,01204,75
238800,1,3,01001,91
135000,2,3,00802,38
104930,3,3,00901,126
175000,0,1,01006,87
54000,1,1,01105,73
26900,2,3,01202,105
133000,3,2,01300,23
63000,2,5,01101,60
579800,2,4,01004,57
22800,1,1,00601,32
238000,1,3,00802,117
161000,3,5,00502,93
13200,0,1,01006,79
296000,2,3,00902,51
578000,4,2,01400,90
140800,1,1,01001,61
109400,3,5,01106,59
213120,4,4,00400,172
52000,1,1,00506,63
117000,2,2,00301,75
194400,3,4,00301,56
40000,0,1,01103,35
31700,1,1,01107,81
236100,4,4,00901,98
322000,2,3,00901,69
116000,2,2,01300,81
49800,1,1,00504,82
7000,1,4,01101,122
91800,1,2,00505,126
11000,0,1,01104,31
301000,2,2,00501,60
32000,1,1,01102,111
189300,4,5,00302,66
33000,1,2,01103,113
107000,1,1,00302,137
28400,1,1,00200,26
100700,4,7,01500,159
190000,1,1,00302,102
38500,1,4,00803,243
165000,2,5,01003,34
119000,3,2,00700,138
235300,3,4,01204,60
418500,1,6,00502,254
60000,2,1,01102,88
27000,2,2,00506,120
9700,0,1,00502,84
51000,1,1,00100,40
159600,3,5,00501,38
117000,3,2,00504,57
65000,1,1,01002,222
80000,0,1,01004,72
376000,1,1,01007,84
603000,1,2,00802,50
578000,2,2,01400,94
42400,1,1,00901,91
20000,1,1,00805,53
33000,3,2,01105,55
20000,2,6,01400,150
97000,2,2,00503,54
9000,1,1,01105,57
57000,1,1,01105,62
170000,2,4,00507,36
86000,1,1,01106,128
113600,2,2,00505,145
41600,2,2,00902,82
107300,3,2,00601,50
181900,2,2,00804,83
165200,2,4,00902,114
21000,2,2,00804,62
25180,1,1,00805,60
145000,1,1,01005,66
55400,1,2,01500,80
18650,1,1,00801,226
85000,1,2,01106,51
61200,2,2,00400,77
129900,3,6,01001,86
200000,3,4,00400,59
802800,3,2,01001,100
41000,1,2,01005,91
215000,2,3,01003,55
19200,1,3,00501,220
240000,4,4,01004,45
95700,0,1,01204,109
46930,1,2,01400,90
131000,3,3,01106,72
9400,0,5,00506,35
25000,4,2,00301,69
46200,0,1,00100,63
213200,1,2,00801,229
255000,3,3,01203,84
75800,2,2,00100,30
167000,3,2,00400,150
46600,1,1,00507,33
50000,1,1,00801,282
187200,3,3,01600,83
110000,3,2,00502,70
124200,5,7,01005,55
304100,2,3,00501,295
95500,1,2,01006,60
152000,2,4,01107,91
28600,2,4,00506,114
79400,0,1,01002,139
9600,1,1,01107,73
37200,3,1,01300,28
85000,1,1,00901,105
105000,1,1,01004,104
22000,1,1,01001,8
238000,2,2,01005,94
210200,2,3,01005,67
43400,2,3,00601,93
3400,0,1,00507,84
458000,3,2,00503,39
95900,2,3,01003,95
31200,2,2,00501,107
78400,3,2,00100,41
147100,2,3,00502,158
156000,1,2,01101,62
86300,3,3,00302,75
143000,6,2,00503,38
184300,2,4,00902,96
40700,2,2,01600,41
133050,1,1,01001,102
20300,0,1,00700,190
4,2,2,00901,108
38400,0,1,00700,57
263400,2,2,01005,70
270000,3,4,01103,43
105000,1,1,01006,68
151000,2,5,00902,108
50000,2,2,01001,62
70500,3,3,00302,85
6900,1,1,00100,63
92000,2,1,01003,99
355800,2,2,00504,37
126000,1,1,01204,91
30000,2,4,00200,187
94500,3,5,01600,118
42200,1,3,00601,86
69300,2,3,01204,312
383200,4,4,00902,111
123500,4,3,00200,61
499230,3,3,01003,59
94800,2,4,00901,132
74000,0,2,01600,55
119000,2,3,00902,29
101000,2,4,01104,186
149500,1,1,00505,31
76000,2,3,00601,260
209000,1,3,00902,124
200000,2,1,00503,39
181000,2,2,01007,122
40000,1,1,01007,233
82500,2,1,00505,157
1800,0,1,00505,195
89000,1,1,00902,163
171000,1,2,01005,135
418000,2,4,01101,61
26600,1,1,00803,59
25900,1,2,00803,44
152100,5,3,01600,175
52000,1,1,00200,104
223000,2,3,00602,84
150550,2,3,00501,81
110000,2,2,00700,204
28000,1,3,01103,90
115000,1,4,01202,197
13480,4,5,01400,24
56000,1,1,00502,82
185000,2,4,00601,92
23400,1,1,01001,30
192000,1,1,01105,41
144000,5,3,01300,17
200200,2,3,01003,14
110000,2,2,00504,90
25000,0,1,00805,523
97000,3,4,01007,149
578000,2,1,01201,170
583600,2,2,01004,51
24000,2,2,01002,68
221700,2,2,01003,85
206100,5,2,01204,82
158200,1,3,01107,151
3300,1,1,01300,81
245240,2,2,01500,136
40400,2,2,00601,43
142700,2,2,00301,63
159000,2,4,00301,64
282000,3,2,00901,71
200000,1,1,00804,195
39900,1,1,00602,271
234500,2,3,00901,90
63700,2,1,00200,95
220000,2,4,01007,50
88800,2,2,01201,49
28000,3,6,01103,133
200000,2,3,00400,81
133900,1,2,01004,50
95300,1,1,01003,79
274000,2,2,01003,195
275000,3,3,00501,67
243720,2,2,01204,93
103500,2,7,01007,268
56200,1,1,00803,67
64000,2,2,01001,162
4000,1,1,00502,60
563000,3,4,01105,107
9700,1,2,00801,160
4700,1,1,01004,51
217900,4,4,00602,54
59020,2,1,01600,229
54800,3,3,01203,87
185000,2,4,00400,23
50000,1,2,01102,39
84500,2,2,01005,110
62300,3,2,00200,93
126000,0,3,01003,168
27000,2,2,00700,137
37400,1,1,01202,57
101000,3,2,00501,79
50350,5,2,00200,235
142210,2,2,00501,50
165000,4,4,00302,132
27000,2,2,00804,39
88000,2,2,01003,136
6200,3,1,00400,64
136600,3,4,00902,106
130000,2,3,01102,377
53500,1,1,00302,97
56200,2,2,00100,80
155000,2,3,00301,59
157500,3,3,01103,40
28400,0,1,00503,79
185000,3,3,00400,231
18100,0,1,00200,78
127400,4,8,00501,354
87700,3,3,01202,99
80000,4,3,00507,103
169200,3,4,01104,36
174200,3,5,00902,58
13900,1,2,01300,33
332400,5,5,00302,140
323100,6,6,00301,159
100000,1,1,01106,39
99000,2,3,00504,74
185000,2,3,01204,58
47000,3,2,01400,71
115000,4,3,01300,56
66500,1,3,01105,40
468000,2,2,01004,57
181000,1,1,01201,144
52000,1,1,01204,76
260000,3,2,01003,54
100000,2,1,00400,54
70000,1,2,01300,106
230000,2,4,01005,43
106320,3,4,01203,112
317000,4,2,01001,96
190300,2,2,01001,60
56800,1,1,01400,91
322500,3,2,00901,67
10400,0,1,01104,188
82900,1,1,01105,53
95700,2,2,00302,32
39000,2,5,00802,63
218100,3,4,01203,104
52500,0,1,01101,59
138000,0,1,01202,62
276800,2,2,01300,52
51000,1,1,00802,58
244000,2,2,01105,248
283800,3,4,00301,30
10290,0,1,00801,148
205600,4,4,01202,154
1156000,2,2,01004,317
136000,2,3,00700,16
187000,4,2,01400,42
13100,1,1,01003,60
5400,1,1,00804,167
106500,4,3,00803,130
39000,0,1,00802,54
125000,1,1,01005,49
47400,2,2,01105,216
48000,1,2,00901,113
180000,2,2,01004,47
164000,2,4,00601,69
228000,3,5,01106,58
262000,3,3,01400,46
160600,2,2,00200,106
98000,3,2,01300,64
161300,2,2,01006,65
328000,5,5,00302,136
23000,2,1,00100,38
18000,2,2,01107,59
8000,1,2,00700,80
153000,2,2,01201,168
12400,1,2,00503,67
120000,2,2,00602,85
100000,3,5,00507,227
123000,2,2,00200,57
48000,0,2,01107,65
275000,1,1,00302,143
95000,1,2,00601,25
10810,1,1,00801,60
14400,3,1,01002,29
250000,2,4,01006,51
57100,1,1,01107,81
20000,1,6,00804,230
49100,0,3,01003,79
30000,2,2,01107,125
65000,2,1,00301,176
88000,0,2,00503,28
79900,3,10,01103,76
8400,0,1,00804,78
68100,1,2,00100,63
608000,3,6,01201,248
84000,1,1,01300,59
142700,2,2,01203,32
99640,3,2,01103,28
10000,1,1,01300,155
116500,5,3,01202,40
38900,1,1,00804,52
261800,3,4,00302,24
35200,1,3,00801,61
90000,2,3,01001,81
87000,1,1,00502,147
360310,2,2,01101,80
210000,2,2,01004,65
220300,2,2,00502,86
108600,1,2,01007,78
43400,2,2,01300,41
62000,1,1,00804,56
108500,3,3,01400,59
60000,1,1,00804,57
50000,1,2,01300,56
15600,3,2,00501,114
120000,1,1,01007,27
92500,3,2,01104,71
68000,2,2,01400,56
110000,3,2,01600,75
79300,2,2,01003,37
38600,1,2,01102,112
65000,3,4,01107,70
128800,1,3,01105,174
95000,2,5,00400,62
38800,2,1,01104,47
51100,2,2,00801,86
131000,2,4,00301,300
64000,1,2,00302,79
61900,2,3,00802,44
58900,2,6,01202,155
137800,2,2,00601,30
37700,2,1,01105,59
248500,2,2,00902,81
188000,2,3,00902,170
74700,2,2,01105,72
165000,2,3,01006,95
121500,2,4,01007,70
18500,0,1,01105,43
50000,1,1,00804,230
83000,4,4,01400,119
123000,1,1,01300,9
61200,1,1,00802,102
42400,1,1,00501,69
69600,2,3,00504,124
72000,1,4,01107,290
17400,1,2,01500,103
367000,4,3,00700,80
260000,2,2,01600,64
54300,1,2,01103,66
245000,3,2,00902,95
42400,2,2,00200,50
1500,2,1,01300,14
7700,0,2,00804,148
277800,2,2,01002,59
299600,3,3,00200,92
180000,4,2,00501,96
158000,4,4,00505,54
255800,2,3,00901,42
100000,2,2,00601,54
112000,3,2,01300,35
102300,2,2,01600,325
95000,1,1,00700,122
330000,2,4,01203,43
103000,1,1,01201,146
40000,2,1,00602,55
290000,3,3,01107,74
150000,1,2,00901,102
200900,3,6,01004,59
208000,3,4,00602,143
36800,3,1,01003,73
72900,3,3,00503,61
114000,2,3,00200,76
60000,2,1,00802,341
90000,2,1,01003,309
173600,3,4,01202,79
26000,0,1,00503,358
121000,2,2,01003,79
116000,1,3,01201,63
197000,2,3,00804,86
323000,3,2,01101,43
131500,2,3,00601,70
87600,3,2,01400,48
42000,0,3,00804,143
92000,1,1,01202,59
224000,2,5,00507,252
63900,3,4,01102,45
62620,1,1,01005,61
108000,2,4,01600,127
56000,2,2,00901,76
89400,4,2,01400,49
98870,2,5,01004,211
66800,0,2,01003,81
53000,1,1,01005,90
264000,2,4,00301,148
32000,1,2,00100,84
135000,2,2,00301,21
170800,4,5,00400,59
250300,3,2,00902,135
112000,0,2,00804,115
90500,4,4,01001,71
155300,1,2,00506,119
304130,2,6,01007,36
12500,1,1,00502,115
121000,3,4,00400,17
67500,0,3,01004,47
98000,3,3,00400,68
171180,3,3,00400,56
41400,2,1,01003,17
66200,3,5,01600,96
55100,1,2,01204,81
17000,1,1,00602,80
169000,2,1,01107,69
24000,0,1,00400,129
99000,2,2,00902,115
320000,2,4,00802,246
151200,2,3,01005,36
101600,2,7,00507,210
60400,1,3,00504,209
18000,0,1,00803,376
85000,1,1,00400,47
81000,3,2,01300,27
54000,2,2,00505,83
42800,2,4,01201,126
310000,2,2,00902,39
164540,2,2,01500,111
110000,2,4,00901,94
156000,3,2,01500,126
19000,1,1,00200,40
45300,3,2,00200,29
170000,2,4,00803,232
256900,2,2,01106,66
159000,2,4,01400,24
71700,1,1,01204,351
75000,2,1,00400,54
90000,1,1,00805,78
46600,0,1,00700,98
58500,1,3,01202,142
145000,4,5,01203,33
7300,3,4,00700,85
183000,2,3,00601,303
130600,1,2,00901,108
125000,3,2,00505,88
51950,2,2,00700,53
146000,2,5,00505,157
12400,0,1,01105,42
249400,3,2,00301,45
153000,5,3,01104,36
127650,0,4,01101,44
127700,2,2,01600,75
18400,1,1,00400,13
45000,1,3,01600,55
52600,4,3,01104,96
115000,1,2,01102,181
63240,3,2,00100,156
65000,0,1,00601,87
149000,2,5,01007,69
200000,4,3,01005,148
75000,3,2,00302,78
27300,0,1,00801,446
32000,2,3,01107,87
230000,4,1,00601,63
170500,1,2,00901,51
68000,3,1,00501,198
24600,1,4,01300,199
73500,2,3,00100,42
54000,2,3,01300,119
38000,0,1,01007,91
42000,2,3,00802,172
22200,2,2,01201,39
162000,2,3,01201,211
240400,1,2,01500,48
47000,3,3,01500,109
26160,0,2,00505,254
28800,2,3,01102,125
226000,4,3,01104,172
195000,2,4,00302,80
46400,1,1,00901,50
18000,2,5,01006,69
86000,3,2,00801,192
90400,2,2,00400,89
419700,0,2,00301,334
63400,3,5,01106,100
116400,1,4,00902,198
77800,2,2,00803,56
25100,2,2,01600,55
154200,1,1,01104,53
19000,1,1,00505,100
49400,1,1,00200,285
30300,1,1,01107,55
111000,2,4,01600,383
23500,3,2,00601,52
73500,1,1,00400,48
42000,2,1,00302,81
214200,3,4,01003,38
58000,2,1,00200,97
155000,2,2,00503,51
332000,2,2,01003,58
75000,1,1,00504,39
41000,1,2,01300,39
219090,2,2,00302,40
255000,5,2,01005,85
80000,1,1,00400,68
223000,5,4,01201,94
56020,1,1,00601,58
27400,3,2,00601,106
196500,1,3,00302,48
23800,1,8,00200,233
230000,2,3,01203,82
153000,4,2,01201,107
34000,1,2,00501,108
100000,2,2,01002,61
115000,3,2,01500,358
114000,1,2,01500,75
51180,2,2,01004,108
94000,2,5,00503,71
355100,3,2,00503,85
131000,2,3,01102,52
193500,3,2,01600,75
58000,1,1,00504,47
171800,2,2,00302,107
225000,3,3,00302,59
68100,2,3,01400,57
67200,2,2,01400,93
5000,2,2,00507,170
256500,2,2,00501,89
22200,1,1,00506,40
71000,0,4,01102,170
40000,2,6,01007,200
161400,3,3,01102,177
34500,1,1,01007,156
111000,2,4,00400,62
160600,2,3,00902,62
329400,1,5,00301,130
50400,3,4,00804,63
70340,2,3,00100,92
29000,1,3,00400,19
30000,2,3,01203,95
40000,1,2,01105,126
335000,1,2,01004,64
94000,2,5,00803,48
43900,2,4,01105,140
98900,1,1,01003,101
651000,2,2,01004,55
50000,2,2,01400,29
46510,2,2,01300,198
13600,2,1,00505,95
191000,2,4,01001,8
214500,3,3,00802,60
65400,1,1,01107,92
128000,2,2,00200,50
109800,5,4,01101,295
230500,2,5,01600,247
110000,0,2,00804,133
140200,3,3,01006,112
72300,2,2,00301,64
1700,1,1,01400,29
66440,2,2,00504,37
366200,3,4,00901,106
199940,3,4,01105,65
69600,1,2,00901,157
75700,1,1,01201,87
278000,4,3,01103,55
10600,1,1,00805,29
45600,1,2,00400,40
100000,1,1,01500,108
444000,2,3,01004,99
31000,3,2,01203,89
54500,2,2,01202,82
129000,1,1,01300,74
17900,1,2,00802,68
76400,2,2,00901,116
18200,1,1,01104,217
12900,0,1,00803,149
31500,3,5,01202,56
56000,1,1,00502,93
7400,1,1,01105,43
70000,1,1,00805,55
30800,1,1,01103,52
159900,2,3,01106,63
134700,2,2,01600,70
196200,5,5,00400,63
26310,3,4,00504,62
155000,1,2,00803,160
150200,2,2,00301,168
55000,1,1,00200,29
189000,2,5,01400,66
51000,1,2,01102,63
280000,4,4,01600,35
145000,2,2,00302,100
1500,2,1,01300,65
230000,3,1,01003,33
40000,2,4,00400,133
154100,2,2,00805,54
152000,0,3,01004,20
42000,1,3,00506,123
112000,2,4,00100,42
64000,2,2,00602,208
116000,2,6,01002,83
50800,1,3,00400,50
24800,1,1,01006,255
109800,3,4,01003,78
205500,2,2,00504,68
60000,1,1,01600,132
358200,1,2,01203,125
174500,3,4,00502,237
88000,2,3,00503,459
175650,1,3,01400,71
59400,1,2,00507,77
79600,0,4,00602,57
19100,2,2,01104,103
194000,2,2,00504,52
105000,3,4,01202,146
72000,3,2,00400,81
155200,2,2,00601,54
13200,0,1,00804,51
360000,2,3,00804,68
16500,1,1,01002,48
242000,2,3,00301,53
71100,2,1,00301,68
67000,2,2,00502,103
15700,1,1,01107,52
236020,2,2,00901,93
148400,4,4,00801,271
106700,2,5,01202,87
426400,4,4,00301,49
54900,1,2,00504,59
149820,4,2,01107,108
200250,1,1,01003,51
184400,1,1,01103,48
163000,2,2,00100,62
3600,1,5,00200,94
35000,0,1,01600,300
146000,3,4,01203,109
380000,2,2,00504,35
8800,2,1,01001,61
75200,1,2,01400,49
153000,1,4,01007,91
77000,4,2,00200,99
616000,2,3,01500,299
48000,1,1,00501,47
76400,1,4,00602,70
162100,1,2,01106,28
188400,3,3,00902,60
275800,4,4,00901,97
20400,0,1,00801,36
20900,1,1,01104,142
115000,1,1,00200,262
10000,1,1,01007,55
31200,2,2,01600,173
80400,3,2,01006,114
42900,1,2,00504,134
179000,2,4,01003,36
300000,2,4,01300,186
2000,1,1,00805,187
148000,3,5,01105,160
124900,2,2,01500,63
96800,2,2,00200,108
110000,3,3,00601,243
3800,0,4,00506,291
48000,0,2,01007,69
80000,1,1,01005,65
176200,1,1,00602,118
58000,1,1,00801,77
91200,2,2,01107,18
110000,2,1,00504,82
41000,0,2,00507,36
185000,1,1,01006,65
209200,2,3,00501,35
699000,2,4,00901,112
96500,2,5,01600,51
70300,2,2,00504,187
60000,1,1,00301,19
90000,2,2,00506,80
49000,3,2,01002,124
26400,1,1,00507,90
157000,2,4,01300,64
214000,1,1,01600,52
102000,1,4,01104,229
21020,2,3,01001,55
90000,1,1,00805,272
50000,1,1,00801,48
519300,5,8,00601,94
102870,1,1,01004,13
90000,1,1,00901,91
121100,3,5,01300,13
107700,2,4,00506,93
144500,4,5,01600,133
16500,0,1,01500,165
41100,0,1,00804,64
17800,2,4,00503,227
155400,3,3,01600,79
94900,1,1,01400,38
126400,2,4,00501,55
211200,4,3,00400,130
33900,0,3,00801,384
1600,0,1,00804,266
179500,1,2,00505,107
100000,2,4,01600,230
19010,1,1,01500,107
92300,1,1,01600,88
19000,1,1,00100,14
54500,3,2,01106,61
158000,2,2,00503,70
273000,2,5,00504,58
190000,2,2,01103,12
155000,2,2,00301,67
45400,2,2,01300,86
155000,1,1,00302,143
46600,2,2,01104,42
152700,2,4,00301,72
45000,2,2,00504,68
200000,3,2,00302,123
111000,0,2,00302,20
24000,1,1,01300,13
28800,0,4,01102,188
3640,1,2,01006,52
35500,1,1,00902,94
59300,1,4,00505,101
173000,2,2,01004,97
9400,0,1,01202,90
118000,3,2,00100,154
69000,2,1,00505,90
98000,2,3,01003,142
226800,1,1,01007,28
45600,1,2,00502,115
35000,1,1,01102,74
27000,1,3,01006,121
53200,1,1,00601,80
60900,5,3,00301,99
65200,1,2,01102,83
16800,3,2,01201,136
107680,1,7,01005,118
25600,1,2,00501,62
410050,1,3,01004,58
44000,1,3,01003,107
25610,1,1,01102,213
285500,2,1,00301,66
189000,1,4,01004,55
110000,3,2,00400,60
162000,3,5,00506,55
158000,1,1,00302,86
83000,3,2,01300,10
968400,3,4,00901,42
54000,1,4,01003,91
240000,3,4,01001,53
95000,2,2,00805,65
117000,2,2,01105,64
15800,1,1,00902,72
21000,2,1,01300,46
120100,2,2,01300,19
159500,4,3,00803,385
196700,5,5,01106,56
35500,1,2,00805,37
34600,2,2,01500,119
224250,4,4,00302,126
215000,3,2,00400,156
21400,3,2,01300,52
247200,1,4,01003,58
129000,2,2,00302,50
22500,1,2,01003,26
110000,1,2,00803,48
80500,2,2,01300,66
288000,3,7,01101,40
135000,4,2,00601,31
60000,3,1,01107,66
30600,0,3,00602,195
178820,2,2,01500,75
210600,1,2,01006,102
61000,1,3,00801,39
17500,0,1,00901,113
166200,1,3,00505,65
19800,1,2,01004,172
123400,1,2,01003,86
81800,2,1,01600,149
43700,1,1,00100,27
80000,2,3,01106,196
97000,2,2,00902,40
55700,2,3,00506,49
92400,2,3,01500,69
366900,2,2,00601,106
70000,1,1,00803,98
86300,3,2,01203,84
160000,1,2,00301,72
55700,3,2,01003,71
37420,1,3,01101,148
81600,2,4,00507,55
42500,3,3,00601,65
138300,3,4,01204,63
32430,2,1,00506,36
28500,1,1,00100,41
9600,0,1,00802,184
112000,2,2,00803,100
40000,1,2,00602,113
167000,4,2,01104,82
105000,2,4,01006,106
190700,3,5,01003,40
52400,1,1,01400,420
17300,1,1,00901,57
145200,2,4,01102,74
78500,5,4,01204,229
160300,4,3,00506,66
211500,2,5,01005,72
208000,1,1,00504,63
48900,1,1,01101,90
192000,2,3,00700,72
273400,3,4,01106,115
139900,3,3,01106,93
54400,1,1,01105,26
70000,1,2,00804,52
112000,1,2,01004,79
112600,1,1,01003,87
60000,2,1,00200,40
54400,1,2,00802,56
95000,2,2,01105,55
232700,3,2,00902,61
156200,2,3,01600,107
38000,1,1,00503,78
36000,1,1,00804,54
210000,3,2,00505,245
98200,3,2,01001,30
181010,2,5,01400,30
150100,1,1,01105,78
24000,1,1,00100,24
6000,0,4,00804,76
10600,0,1,01101,146
67000,1,1,01600,107
41000,1,1,00302,78
91200,0,2,01106,46
65400,3,4,00601,34
12000,2,2,00100,64
92000,3,2,01106,61
130200,2,3,01105,63
80000,1,1,00601,55
89800,6,6,00301,162
93600,1,1,01105,51
172000,1,1,00601,31
161000,1,1,01102,141
5400,0,2,01400,59
47000,2,2,00502,87
142600,2,3,01400,219
9880,1,1,01300,40
33400,2,2,00805,45
126700,2,2,00601,106
26870,2,1,00400,74
110900,4,8,01104,187
177000,3,2,00400,49
230000,5,2,01400,97
168000,2,4,01203,51
130000,2,2,01202,384
151600,3,4,00700,51
101000,2,5,00100,61
19200,2,1,01204,95
116400,2,3,00902,100
167000,3,3,01105,124
11000,1,1,00507,161
288000,3,3,01300,202
49000,2,2,00200,151
86800,0,4,01101,159
36000,1,1,00100,24
32400,1,1,01001,60
48000,2,2,00601,57
41400,1,5,00400,50
