name,Aggregate_function
out.site_energy.total.energy_consumption_intensity..kwh_per_ft2,sum
out.emissions.electricity.total.aer_highrecost_avg..co2e_kg,sum
out.emissions.electricity.total.aer_highrecostlowngprice_avg..co2e_kg,sum
out.emissions.electricity.total.aer_lowrecost_avg..co2e_kg,sum
out.emissions.electricity.total.aer_lowrecosthighngprice_avg..co2e_kg,sum
out.emissions.electricity.total.aer_midcase_avg..co2e_kg,sum
out.emissions.electricity.total.lrmer_highrecost_15..co2e_kg,sum
out.emissions.electricity.total.lrmer_highrecost_25..co2e_kg,sum
out.emissions.electricity.total.lrmer_highrecostlowngprice_15..co2e_kg,sum
out.emissions.electricity.total.lrmer_highrecostlowngprice_25..co2e_kg,sum
out.emissions.electricity.total.lrmer_lowrecost_15..co2e_kg,sum
out.emissions.electricity.total.lrmer_lowrecost_25..co2e_kg,sum
out.emissions.electricity.total.lrmer_lowrecosthighngprice_15..co2e_kg,sum
out.emissions.electricity.total.lrmer_lowrecosthighngprice_25..co2e_kg,sum
out.emissions.electricity.total.lrmer_midcase_15..co2e_kg,sum
out.emissions.electricity.total.lrmer_midcase_25..co2e_kg,sum
out.emissions.natural_gas.total..co2e_kg,sum
out.emissions.propane.total..co2e_kg,sum
out.emissions.fuel_oil.total..co2e_kg,sum
out.emissions.total.aer_highrecost_avg..co2e_kg,sum
out.emissions.total.aer_highrecostlowngprice_avg..co2e_kg,sum
out.emissions.total.aer_lowrecost_avg..co2e_kg,sum
out.emissions.total.aer_lowrecosthighngprice_avg..co2e_kg,sum
out.emissions.total.aer_midcase_avg..co2e_kg,sum
out.emissions.total.lrmer_highrecost_15..co2e_kg,sum
out.emissions.total.lrmer_highrecost_25..co2e_kg,sum
out.emissions.total.lrmer_highrecostlowngprice_15..co2e_kg,sum
out.emissions.total.lrmer_highrecostlowngprice_25..co2e_kg,sum
out.emissions.total.lrmer_lowrecost_15..co2e_kg,sum
out.emissions.total.lrmer_lowrecost_25..co2e_kg,sum
out.emissions.total.lrmer_lowrecosthighngprice_15..co2e_kg,sum
out.emissions.total.lrmer_lowrecosthighngprice_25..co2e_kg,sum
out.emissions.total.lrmer_midcase_15..co2e_kg,sum
out.emissions.total.lrmer_midcase_25..co2e_kg,sum
out.unmet_hours.cooling..hour,sum
out.unmet_hours.ev_driving..hour,sum
out.unmet_hours.heating..hour,sum
out.hot_water.clothes_washer..gal,sum
out.hot_water.dishwasher..gal,sum
out.hot_water.distribution_waste..gal,sum
out.hot_water.fixtures..gal,sum
out.load.cooling.energy_delivered..kbtu,sum
out.load.heating.energy_delivered..kbtu,sum
out.load.heating_heat_pump_backup..kbtu,sum
out.load.hot_water.energy_delivered..kbtu,sum
out.load.hot_water_solar_thermal..kbtu,sum
out.load.hot_water_tank_losses..kbtu,sum
out.indoor_airflow.infiltration..cfm,mean
out.indoor_airflow.mechanical_ventilation..cfm,mean
out.indoor_airflow.natural_ventilation..cfm,mean
out.indoor_dewpoint_temperature.conditioned_space..c,mean
out.indoor_humidity_ratio.conditioned_space..kgwater_per_kgdryair,mean
out.indoor_operative_temperature.conditioned_space..c,mean
out.indoor_radiant_temperature.conditioned_space..c,mean
out.indoor_relative_humidity.conditioned_space..percentage,mean
out.indoor_temperature.conditioned_space..c,mean
out.outdoor_air_drybulb_temp..c,mean
out.outdoor_air_relative_humidity..percentage,mean
out.outdoor_air_wetbulb_temp..c,mean
out.outdoor_humidity_ratio..kgwater_per_kgdryair,mean
out.people.sensible_heating_rate..watt,mean
out.people.total_heating_rate..watt,mean
out.weather.diffuse_solar_radiation..watt_per_m2,mean
out.weather.direct_normal_solar_radiation..watt_per_m2,mean
out.weather.wind_speed..meter_per_second,mean
out.schedules.ceiling_fan,mean
out.schedules.clothes_dryer,mean
out.schedules.clothes_washer,mean
out.schedules.cooking_range,mean
out.schedules.cooling_setpoint..c,mean
out.schedules.dishwasher,mean
out.schedules.electric_vehicle_charging,mean
out.schedules.electric_vehicle_discharging,mean
out.schedules.heating_setpoint..c,mean
out.schedules.hot_water_clothes_washer,mean
out.schedules.hot_water_dishwasher,mean
out.schedules.hot_water_fixtures,mean
out.schedules.lighting_garage,mean
out.schedules.lighting_interior,mean
out.schedules.no_space_cooling,mean
out.schedules.no_space_heating,mean
out.schedules.occupants,mean
out.schedules.peak_period,mean
out.schedules.plug_loads_other,mean
out.schedules.plug_loads_tv,mean
out.schedules.power_outage,mean
out.schedules.pre_peak_period,mean
out.schedules.vacancy,mean
